key;en;de;fr;es
stats.avg_price_per_weight_label;Average price per Weight:;Durchschnittspreis pro Menge:;Prix moyen par poids :;Precio medio por peso:
stats.most_expensive_label;Most Expensive Tea:;Teuerster Tee:;Thé le plus cher :;Té más caro:
stats.most_expensive_by_weight_label;Most Expensive Tea by weight:;Teuerster Tee pro Menge:;Thé le plus cher au poids :;Té más caro por peso:
stats.no_data;No data;Keine Daten;Aucune donnée;Sin datos
stats.tea_collection_by_type_title;Tea Collection by Type;Teesammlung nach Sorte;Collection de thés par type;Colección de té por tipo
stats.tea_collection_metric_label;Slice size by;Segmentgroesse nach;Taille des parts par;Tamaño de porción por
stats.tea_collection_metric_absolute;Absolute records;Absolute Eintraege;Nombre de fiches;Número de registros
stats.tea_collection_metric_weight;Tea weight;Teemenge;Poids de thé;Peso de té
stats.tea_collection_metric_spending;Money spent;Ausgaben;Montant dépensé;Dinero gastado
stats.average_rating_label;Average Rating;Durchschnittsbewertung;Note moyenne;Valoración media
stats.rating_distribution_title;Ratings Distribution;Bewertungsverteilung;Répartition des notes;Distribución de valoraciones
stats.rating_distribution_no_data;No ratings available;Keine Bewertungen verfügbar;Aucune note disponible;No hay valoraciones disponibles
stats.loading;Loading statistics...;Statistiken werden geladen...;Chargement des statistiques...;Cargando estadísticas...
stats.histogram_total_price;Total Prices;Gesamtpreise;Prix totaux;Precios totales
stats.histogram_total_price_range;Total price range;Bereich für Gesamtpreise;Plage de prix total;Rango de precio total
stats.histogram_price_per_weight_g;Price per gram;Preis pro Gramm;Prix par gramme;Precio por gramo
stats.histogram_price_per_weight_oz;Price per ounce;Preis pro Unze;Prix par once;Precio por onza
stats.histogram_price_per_weight_range;Price per unit range;Bereich für Preis pro Einheit;Plage de prix unitaire;Rango de precio por unidad
stats.histogram_range_min;Minimum price;Mindestpreis;Prix minimum;Precio mínimo
stats.histogram_range_max;Maximum price;Höchstpreis;Prix maximum;Precio máximo
stats.average_value;Average;Durchschnitt;Moyenne;Media
stats.median_value;Median;Median;Médiane;Mediana
stats.count_value;Count;Anzahl;Nombre;Cantidad
stats.no_price_data;No price data available;Keine Preisdaten verfügbar;Aucune donnée de prix disponible;No hay datos de precios disponibles
stats.aromas_overall_title;Overall Aroma Profile;Gesamtprofil der Aromen;Profil aromatique global;Perfil aromático general
stats.aromas_type_title;Aroma Profile by Type;Aromenprofil nach Sorte;Profil aromatique par type;Perfil aromático por tipo
stats.origins_title;Tea Origins;Tee-Herkünfte;Origines des thés;Orígenes del té
stats.origin_countries_title;Most Common Origin Countries;Häufigste Herkunftsländer;Pays d’origine les plus fréquents;Países de origen más frecuentes
stats.origin_countries_no_data;No origin countries available;Keine Herkunftsländer verfügbar;Aucun pays d’origine disponible;No hay países de origen disponibles
stats.origin_details_title;Specific Origins;Spezifische Herkünfte;Origines précises;Orígenes específicos
stats.origin_details_no_data;No specific origins available;Keine spezifischen Herkünfte verfügbar;Aucune origine précise disponible;No hay orígenes específicos disponibles
stats.origin_details_show_more;Show more origins;Mehr Herkünfte anzeigen;Afficher plus d’origines;Mostrar más orígenes
stats.origin_details_show_less;Show fewer origins;Weniger Herkünfte anzeigen;Afficher moins d’origines;Mostrar menos orígenes
stats.origins_no_data;No origins available;Keine Herkünfte verfügbar;Aucune origine disponible;No hay orígenes disponibles
timer.title;Tea Timer;Teetimer;Minuteur à thé;Temporizador de té
timer.presets_title;Steeping presets;Ziehzeiten;Préréglages d’infusion;Preajustes de infusión
timer.preset_western;Western style;Westlicher Stil;Style occidental;Estilo occidental
timer.preset_gongfu;Gongfu style;Gongfu-Stil;Style gongfu;Estilo gongfu
timer.progress_label;Progress: {percent}%;Fortschritt: {percent}%;Progression : {percent}%;Progreso: {percent}%
timer.start_button;Start;Start;Démarrer;Iniciar
timer.pause_button;Pause;Pause;Pause;Pausa
timer.reset_button;Reset;Zurücksetzen;Réinitialiser;Restablecer
about.title;About this App;Über diese App;À propos de cette appli;Acerca de esta aplicación
about.versionNumber;Version number;Versionsnummer;Numéro de version;Número de versión
about.body1;Journalitea is free software, licensed under the;Journalitea ist freie Software, lizenziert unter der;Journalitea est un logiciel libre, sous licence;Journalitea es software libre, bajo la licencia
about.developedBy;Developed by;Entwickelt von;Développé par;Desarrollado por
about.fonts;Fonts used:;Benutzte Schriftarten:;Polices utilisées :;Fuentes utilizadas:
about.body2;The complete source code can be found through the link below:;Der vollständige Quellcode ist über den untenstehenden Link verfügbar:;Le code source complet est disponible via le lien ci-dessous :;El código fuente completo está disponible en el enlace de abajo:
about.body3;I made Journalitea because I wanted to build it, not because I am trying to make any money off of it. If you like the app, I encourage you to also build things you enjoy making and share them with the community.;Ich habe Journalitea gebaut weil ich wollte dass die App existiert, nicht um damit später Geld zu verdienen. Wenn du die App magst, ermutige ich dich ebenfalls Dinge zu bauen die dir gefallen, und sie mit deiner Community zu teilen.;J’ai créé Journalitea parce que je voulais qu’il existe, pas pour gagner de l’argent. Si cette appli vous plaît, je vous encourage à créer vous aussi des choses qui vous font plaisir et à les partager avec la communauté.;Hice Journalitea porque quería que existiera, no para ganar dinero con ella. Si te gusta la aplicación, te animo a crear también cosas que disfrutes y a compartirlas con la comunidad.
